sample_date,site_code,sweepnet_sample_type,substratum,arthropod_scientific_name,number_of_arthropods,number_immature,number_winged,notes
4/27/2023,AB19,plant,Buxus sempervirens,Thysanoptera,6,0,3,
5/25/2023,P8,plant,Larrea tridentata,Trombidiformes,19,0,0,Cresote#1
5/25/2023,P8,plant,Larrea tridentata,Hemiptera,2,0,1,Cresote#1; 2 Homoptera
5/25/2023,O9,plant,Ambrosia deltoidea,Hemiptera,3,0,1,3 Homoptera
5/25/2023,O9,plant,Ambrosia deltoidea,Heteroptera,1,0,0,
5/24/2023,S12,plant,Pinus eldarica,Thysanoptera,1,0,0,
5/24/2023,S12,plant,Pinus eldarica,Trombidiformes,5,0,0,
5/24/2023,S12,plant,Pinus eldarica,Hemiptera,1,0,NA,1 Homoptera
5/25/2023,P8,plant,Larrea tridentata,Trombidiformes,1,0,0,Cresote#2
5/25/2023,P8,plant,Larrea tridentata,Araneae,2,0,0,Cresote#2
5/25/2023,P8,plant,Larrea tridentata,Hymenoptera,1,0,1,Cresote#2
5/25/2023,P8,plant,Larrea tridentata,Hemiptera,1,0,NA,Cresote#2; 1 Homoptera
5/25/2023,P8,plant,Larrea tridentata,Coleoptera,1,1,1,Cresote#2
5/22/2023,M7,plant,Larrea tridentata,Coleoptera,2,1,1,
5/22/2023,M7,plant,Larrea tridentata,Diptera,1,1,0,
5/22/2023,M7,plant,Larrea tridentata,Unknown,1,0,NA,
5/22/2023,M7,plant,Larrea tridentata,Trombidiformes,4,0,0,
5/22/2023,M7,plant,Larrea tridentata,Araneae,2,0,0,
5/26/2023,AA17,plant,Acacia farnesiana,Thysanoptera,13,0,8,
5/26/2023,AA17,plant,Acacia farnesiana,Heteroptera,1,0,NA,
5/26/2023,AA17,plant,Acacia farnesiana,Hemiptera,1,0,NA,1 Homoptera
5/25/2023,P8,plant,Larrea tridentata,Araneae,1,0,0,Cresote#3
5/25/2023,O9,plant,Larrea tridentata,Araneae,5,0,0,
5/25/2023,O9,plant,Larrea tridentata,Trombidiformes,2,0,0,
5/25/2023,O9,plant,Larrea tridentata,Hemiptera,6,0,NA,6 Homoptera
5/25/2023,O9,plant,Larrea tridentata,Thysanoptera,1,0,0,
5/25/2023,O9,plant,Larrea tridentata,Heteroptera,2,0,NA,
5/25/2023,O9,plant,Larrea tridentata,Opiliones,1,0,0,
5/24/2023,V11,plant,Larrea tridentata,Trombidiformes,48,0,0,
5/24/2023,V11,plant,Larrea tridentata,Opiliones,1,0,0,
5/24/2023,V11,plant,Larrea tridentata,Coleoptera,1,1,0,
5/24/2023,V11,plant,Larrea tridentata,Hemiptera,3,0,NA,3 Homoptera
5/24/2023,V11,plant,Larrea tridentata,Neuroptera,1,1,1,
5/24/2023,V11,plant,Larrea tridentata,Araneae,1,0,0,
5/24/2023,V11,plant,Larrea tridentata,Thysanoptera,1,0,1,
5/26/2023,AA17,plant,Hesperaloe parviflora,Thysanoptera,33,0,19,
5/26/2023,AA17,plant,Hesperaloe parviflora,Araneae,1,0,0,
5/26/2023,AA17,plant,Hesperaloe parviflora,Trombidiformes,1,0,0,
4/19/2023,U6,plant,Lycium fremontii,Thysanoptera,21,0,13,
4/19/2023,U6,plant,Lycium fremontii,Araneae,1,0,0,
4/19/2023,U6,plant,Lycium fremontii,Coleoptera,3,1,2,
4/19/2023,U6,plant,Lycium fremontii,Hemiptera,39,32,NA,39 Homoptera
4/19/2023,U6,plant,Lycium fremontii,Diptera,1,0,1,
4/19/2023,U6,plant,Lycium fremontii,Neuroptera,1,0,1,
4/19/2023,U6,plant,Ambrosia deltoidea,Heteroptera,5,0,NA,
4/19/2023,U6,plant,Ambrosia deltoidea,Hemiptera,6,3,NA,6 Homoptera
4/19/2023,U6,plant,Ambrosia deltoidea,Thysanoptera,2,0,1,
4/19/2023,U8,plant,Larrea tridentata,Araneae,5,0,0,creosote #1
4/19/2023,U8,plant,Larrea tridentata,Coleoptera,4,0,4,creosote #1
4/19/2023,U8,plant,Larrea tridentata,Thysanoptera,93,0,90,creosote #1
4/19/2023,U8,plant,Larrea tridentata,Heteroptera,1,0,NA,creosote #1
4/19/2023,U8,plant,Larrea tridentata,Coleoptera,1,0,1,creosote #2
4/19/2023,U8,plant,Larrea tridentata,Thysanoptera,14,0,12,creosote #2
4/19/2023,U8,plant,Larrea tridentata,Hemiptera,3,0,NA,creosote #2; 3 Homoptera
4/19/2023,U8,plant,Larrea tridentata,Lepidoptera,3,3,0,creosote #2
4/19/2023,U8,plant,Larrea tridentata,Araneae,2,0,0,creosote #2
4/19/2023,U8,plant,Larrea tridentata,Heteroptera,2,0,NA,creosote #2
4/20/2023,AC7,plant,Calliandra eriophylla,Coleoptera,1,1,0,
4/20/2023,AC7,plant,Calliandra eriophylla,Thysanoptera,3,0,3,
4/20/2023,AC7,plant,Calliandra eriophylla,Sminthuridae,1,0,0,
4/20/2023,AC7,plant,Calliandra eriophylla,Hemiptera,3,0,NA,3 Homoptera
4/20/2023,AC7,plant,Simmondsia chinensis,Thysanoptera,1,0,1,
4/24/2023,AD10,plant,Simmondsia chinensis,Thysanoptera,2,0,2,
4/24/2023,AD10,plant,Simmondsia chinensis,Hemiptera,1,0,NA,1 Homoptera
4/24/2023,AD10,plant,Simmondsia chinensis,Neuroptera,1,0,1,
4/19/2023,U8,plant,Ambrosia deltoidea,Hemiptera,4,0,NA,4 Homoptera
4/19/2023,U8,plant,Ambrosia deltoidea,Hymenoptera,1,0,NA,
4/19/2023,U8,plant,Ambrosia deltoidea,Thysanoptera,13,0,12,
4/25/2023,AB10,plant,Encelia virginensis,Thysanoptera,20,0,19,
4/25/2023,AB10,plant,Encelia virginensis,Trombidiformes,1,0,0,
4/25/2023,AB10,plant,Encelia virginensis,Hemiptera,1,0,NA,1 Homoptera
4/26/2023,V7,plant,Acacia greggii,Thysanoptera,8,0,7,
4/26/2023,V7,plant,Acacia greggii,Hymenoptera,1,0,NA,
4/26/2023,V7,plant,Acacia greggii,Coleoptera,4,1,3,
4/26/2023,V7,plant,Acacia greggii,Heteroptera,1,0,NA,
4/25/2023,AB10,plant,Acacia greggii,Trombidiformes,3,0,0,
4/25/2023,AB10,plant,Acacia greggii,Thysanoptera,1,0,1,
4/25/2023,AB10,plant,Acacia greggii,Neuroptera,1,0,1,
4/25/2023,AB10,plant,Acacia greggii,Coleoptera,1,1,0,
4/24/2023,AD10,plant,Larrea tridentata,Thysanoptera,513,0,508,
4/24/2023,AD10,plant,Larrea tridentata,Diptera,1,0,1,
4/24/2023,AD10,plant,Larrea tridentata,Hemiptera,5,0,NA,5 Homoptera
4/24/2023,AD10,plant,Larrea tridentata,Hymenoptera,1,0,NA,
4/24/2023,AD10,plant,Larrea tridentata,Trombidiformes,11,0,0,
4/24/2023,AD10,plant,Larrea tridentata,Lepidoptera,1,1,0,
4/24/2023,AD10,plant,Larrea tridentata,Unknown,1,0,NA,
4/24/2023,AD10,plant,Encilia farinosa,Thysanoptera,142,0,141,
4/24/2023,AD10,plant,Encilia farinosa,Hemiptera,3,0,NA,3 Homoptera
4/26/2023,V7,plant,Larrea tridentata,Thysanoptera,106,0,101,Creosote#1
4/26/2023,V7,plant,Larrea tridentata,Hemiptera,2,0,NA,Creosote#1; 2 Homoptera
4/26/2023,V7,plant,Larrea tridentata,Trombidiformes,35,0,0,Creosote#1
4/26/2023,V7,plant,Larrea tridentata,Coleoptera,3,1,2,Creosote#1
4/26/2023,V7,plant,Larrea tridentata,Araneae,1,0,0,Creosote#1
4/26/2023,V7,plant,Larrea tridentata,Heteroptera,3,0,NA,Creosote#1
4/26/2023,V7,plant,Larrea tridentata,Lepidoptera,1,1,0,Creosote#1
4/19/2023,U6,plant,Larrea tridentata,Thysanoptera,115,0,84,
4/19/2023,U6,plant,Larrea tridentata,Hemiptera,3,0,NA,3 Homoptera
4/19/2023,U6,plant,Larrea tridentata,Coleoptera,1,1,0,
4/19/2023,U6,plant,Larrea tridentata,Araneae,3,0,0,
4/19/2023,U6,plant,Larrea tridentata,Heteroptera,4,0,NA,
4/19/2023,U6,plant,Larrea tridentata,Lepidoptera,1,1,0,
4/19/2023,U6,plant,Larrea tridentata,Hymenoptera,1,0,NA,
4/21/2023,T20,plant,Larrea tridentata,Thysanoptera,17,13,0,Creosote#1
4/21/2023,T20,plant,Larrea tridentata,Araneae,7,0,0,Creosote#1
4/21/2023,T20,plant,Larrea tridentata,Hemiptera,1,0,NA,Creosote#1; 1 Homoptera
4/21/2023,T20,plant,Larrea tridentata,Coleoptera,1,0,1,Creosote#1
