Sample ID,Sample Type,Replicate Number,Repeat Number,Cup Number,Manual Dilution Factor,Auto Dilution Factor,Weight (Units),Weight,Units,Detection Date,Detection Time,User Name,Run File Name,Description,Channel Number,Analyte Name,Peak Concentration,Determined Conc.,Concentration Units,Peak Area,Peak Height,Calibration equation,Retention Time,Inject to Peak Start,Conc x ADF,Conc x MDF,Conc x ADF x MDF
CalStd A,Calibration Standard,1,1,S1,1,1,,,,6/16/2016,10:50:59 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,10,0,mg N/L,44.1,1.82,Conc = 0.00 * Area^2 + 0.00 * Area + 0.00,91.1,68,10,10,10
CalStd A,Calibration Standard,1,1,S1,1,1,,,,6/16/2016,10:50:59 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,20,0,mg N/L,121,4.59,Conc = 0.00 * Area^2 + 0.00 * Area + 0.00,112,65.2,20,20,20
CalStd B,Calibration Standard,1,1,S2,1,1,,,,6/16/2016,10:52:09 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,4,0,mg N/L,21.4,0.925,Conc = 0.00 * Area^2 + 0.00 * Area + 0.00,94,69.7,4,4,4
CalStd B,Calibration Standard,1,1,S2,1,1,,,,6/16/2016,10:52:09 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,8,0,mg N/L,52.3,2.1,Conc = 0.00 * Area^2 + 0.00 * Area + 0.00,111,76.7,8,8,8
CalStd C,Calibration Standard,1,1,S3,1,1,,,,6/16/2016,10:53:20 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,1,1,mg N/L,5.79,0.252,Conc = 1.86e-3 * Area^2 + 0.142 * Area + 0.114,93.6,69.3,1,1,1
CalStd C,Calibration Standard,1,1,S3,1,1,,,,6/16/2016,10:53:20 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,2,0,mg N/L,13.5,0.544,Conc = 1.95e-4 * Area^2 + 0.142 * Area + 0.0555,111,75.1,2,2,2
CalStd D,Calibration Standard,1,1,S4,1,1,,,,6/16/2016,10:54:30 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.5,0.4747028,mg N/L,2.7,0.119,Conc = 1.83e-3 * Area^2 + 0.144 * Area + 0.101,94,70.5,0.5,0.5,0.5
CalStd D,Calibration Standard,1,1,S4,1,1,,,,6/16/2016,10:54:30 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,1,1,mg N/L,6.73,0.271,Conc = 1.92e-4 * Area^2 + 0.142 * Area + 0.0409,111,71.8,1,1,1
CalStd E,Calibration Standard,1,1,S5,1,1,,,,6/16/2016,10:55:42 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.2,0.2040137,mg N/L,1.17,0.0519,Conc = 1.60e-3 * Area^2 + 0.155 * Area + 0.0318,92,68.9,0.2,0.2,0.2
CalStd E,Calibration Standard,1,1,S5,1,1,,,,6/16/2016,10:55:42 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.4,0.4075894,mg N/L,2.9,0.116,Conc = 1.85e-4 * Area^2 + 0.143 * Area + 0.0127,112,59.8,0.4,0.4,0.4
