table,name,SS_col,HIN_col
,start,,
,end,,
,today,,
,audit,,
,audit_url,,
,site,,
,date,,
,crew_members_for_this_survey,,
,crew_members_for_this_survey_quincy_stewart_9,,
,crew_members_for_this_survey_david_fleming,,
,crew_members_for_this_survey_parker_davis,,
,crew_members_for_this_survey_shane_henderson,,
,crew_members_for_this_survey_jaysen_brunner,,
,crew_members_for_this_survey_quincy_stewart_14,,
,crew_members_for_this_survey_kristen_countryman,,
,crew_members_for_this_survey_vanessa_gogerty,,
,crew_members_for_this_survey_kati_heller,,
,crew_members_for_this_survey_julia_hernandez,,
,crew_members_for_this_survey_luke_ramsey,,
,are_there_any_guests_today,,
HI,brief_description_of_the_plot,,
HI,the_weather_today,,
HI,has_it_rained_recently_when_how_much_what_evidence,,
SG,slope,,
SG,aspect,,
,position_of_plot_center,,
SG,position_of_plot_center_latitude,,
SG,position_of_plot_center_longitude,,
SG,position_of_plot_center_altitude,,
SG,position_of_plot_center_precision,,
HI,rope_intersection,,
,lse_total,,
HI,path_through_the_plot,,
HI,footprints_in_plot,,
HI,bike_tracks,,
HI,off_road_vehicle_tracks,,
HI,small_litter,,
HI,dumped_trash_bags,,
HI,abandoned_vehicles,,
HI,graffiti,,
HI,injured_plants,,
HI,informal_play_spaces_e_g_play_houses,,
HI,informal_recreation_sites_e_g_broken_bottles_shooting_targets,,
HI,informal_living_site_e_g_homeless_camps_bottles_bonfires_privies,,
HI,sports_equipment_or_facilities,,
HI,number_of_cars,,
HI,number_of_motorcycles,,
HI,number_of_bicycles,,
HI,number_of_houses,,
HI,number_of_recreational_vehicles,,
,is_this_a_desert_plot,,
,are_there_any_structures_54,,
HI,does_the_landscape_appear_well_maintained,,
HI,is_the_landscape_maintained_professionally,,
HI,are_there_symptoms_or_signs_of_abiotic_or_biotic_injury,,
HI,are_the_plants_healthy_and_vigorous,,
,indicate_visible_signs_of_human_cultivation,,
HI,indicate_visible_signs_of_human_cultivation_presence_of_open_ground,,
HI,indicate_visible_signs_of_human_cultivation_presence_of_trees,,
HI,indicate_visible_signs_of_human_cultivation_presence_of_shrubs,,
HI,indicate_visible_signs_of_human_cultivation_presence_of_cacti_or_succulents,,
HI,indicate_visible_signs_of_human_cultivation_presence_of_lawn,,
