survey_id,survey_id,Type
general_description,brief_description_of_the_plot,
weather_on_the_day,the_weather_today,
weather_recent_rain_notes,has_it_rained_recently_when_how_much_what_evidence,
vegetation_rope_length,rope_intersection,
human_presence_of_path,path_through_the_plot,
human_footprints,footprints_in_plot,
human_bike_tracks,bike_tracks,
human_off_road_vehicle,off_road_vehicle_tracks,
human_small_litter,small_litter,
human_dumped_trash_bags,dumped_trash_bags,
human_abandoned_vehicles,abandoned_vehicles,
human_graffiti,graffiti,
human_injured_plants,injured_plants,
human_informal_play,informal_play_spaces_e_g_play_houses,
human_informal_recreation,informal_recreation_sites_e_g_broken_bottles_shooting_targets,
human_informal_living,informal_living_site_e_g_homeless_camps_bottles_bonfires_privies,
human_sports_equipment,sports_equipment_or_facilities,
human_number_cars,number_of_cars,
human_number_motorcycles,number_of_motorcycles,
human_number_bycicles,number_of_bicycles,
human_number_houses,number_of_houses,
human_number_rvs,number_of_recreational_vehicles,
appears_maintained,does_the_landscape_appear_well_maintained,
appears_professional,is_the_landscape_maintained_professionally,
appears_injured,are_there_symptoms_or_signs_of_abiotic_or_biotic_injury,
appears_healthy,are_the_plants_healthy_and_vigorous,
presence_of_open_ground,indicate_visible_signs_of_human_cultivation_presence_of_open_ground,boolean
presence_of_trees,indicate_visible_signs_of_human_cultivation_presence_of_trees,boolean
presence_of_shrubs,indicate_visible_signs_of_human_cultivation_presence_of_shrubs,boolean
presence_of_cacti_succ,indicate_visible_signs_of_human_cultivation_presence_of_cacti_or_succulents,boolean
presence_of_lawn,indicate_visible_signs_of_human_cultivation_presence_of_lawn,boolean
presence_of_herbacous_ground,indicate_visible_signs_of_human_cultivation_presence_of_herbaceous_ground_cover,boolean
presence_of_other,indicate_visible_signs_of_human_cultivation_presence_of_other_vegetation_types,boolean
presence_of_hand_water,indicate_visible_signs_of_human_added_irrigation_presence_of_hand_water,boolean
presence_of_drip_water,indicate_visible_signs_of_human_added_irrigation_presence_of_drip_water,boolean
presence_of_overhead_water,indicate_visible_signs_of_human_added_irrigation_presence_of_overhead_water,boolean
presence_of_flood_water,indicate_visible_signs_of_human_added_irrigation_presence_of_flood_water,boolean
presence_of_subterranean_water,indicate_visible_signs_of_human_added_irrigation_presence_of_subterranean_water,boolean
presence_of_no_water,indicate_visible_signs_of_human_added_irrigation_no_water,boolean
presence_of_pervious_irrigation,indicate_visible_signs_of_human_added_irrigation_presence_of_pervious_irrigation,boolean
human_social_class,approximate_perceived_social_class_of_the_neighborhood,
