db_col,db_type,front_back_col,front_back_value
survey_id,integer,survey_id,1157
parcel_survey_type,character,front_or_back_yard,front
parcel_appearance,character,yard_upkeep_and_appearance,good
parcel_orderliness,character,yard_orderliness_placement_of_plants_riverbed_etc,medium
presence_of_bird_feeder,boolean,features_in_the_yard_bird_feeder,1
presence_of_water_feature,boolean,features_in_the_yard_water_feature,0
presence_of_porch_patio,boolean,features_in_the_yard_front_porch,1
presence_of_cats,boolean,features_in_the_yard_cats,0
presence_of_dogs,boolean,features_in_the_yard_dogs,0
presence_of_pet_waste,boolean,features_in_the_yard_pet_or_animal_waste,0
presence_of_statues,boolean,features_in_the_yard_religious_ornaments_or_statues,0
presence_of_flagpole,boolean,features_in_the_yard_flagpole,0
presence_of_cars_yard,boolean,features_in_the_yard_cars_in_yard_but_not_in_the_driveway,0
presence_of_potted_plant,boolean,features_in_the_yard_potted_plants,1
presence_of_play_equip,boolean,features_in_the_yard_play_equipment,0
presence_of_lawn_ornaments,boolean,features_in_the_yard_lawn_ornaments,0
presence_of_furniture,boolean,features_in_the_yard_chairs_or_tables,1
presence_of_river_bed,boolean,features_in_the_yard_landscaped_rock_or_river_bed,0
presence_of_yard_topography,boolean,features_in_the_yard_created_yard_topography,0
presence_of_litter,boolean,features_in_the_yard_litter_or_refuse_on_the_ground,0
presence_of_veg_litter,boolean,features_in_the_yard_vegetation_litter_like_leaves,0
presence_of_yard_tools,boolean,features_in_the_yard_yard_maintenance_tools,0
presence_of_light_post,boolean,features_in_the_yard_light_post,1
presence_of_other,boolean,features_in_the_yard_other,0
presence_of_irrigation_flood,boolean,watering_regimes_flood,0
presence_of_irrigation_drip,boolean,watering_regimes_drip_or_trickle,1
presence_of_irrigation_hose,boolean,watering_regimes_hand_watering,1
presence_of_irrigation_sprinklers,boolean,watering_regimes_overhead_spray,0
cv_landsc_type_id,integer,predominant_landscape_type,mixed
cv_amount_grass_id,integer,amount_of_grass,about half
cv_weed_grass_id,integer,percent_of_weeds_in_grass_area,more than 50 percent
cv_weed_xeric_id,integer,percent_of_weeds_in_non_grass_or_xeric_areas,10 to 25 percent
presence_of_weeds_other,boolean,are_there_weeds_in_other_areas_of_the_yard_such_as_flowerbeds_or_the_driveway,yes
parcel_pruning_trees,character,evidence_of_tree_pruning_such_as_cut_branches,yes
parcel_pruning_shrubs,character,evidence_of_shrub_pruning_such_as_shaped_shrubs,yes
parcel_grass_patchiness,character,grass_patchiness,there are patches of weeds or bare spots present
parcel_percent_living_grass,integer,percent_living_grass,95
parcel_percent_bare,integer,percent_bare_ground,0
parcel_percent_dead,integer,percent_dead_or_dormant_grass,0
parcel_percent_weeds,integer,percent_weeds,5
parcel_percent_other,integer,percent_other,NA
parcel_percent_no_stress,integer,percent_very_green_grass,95
parcel_percent_little_stress,integer,percent_moderately_green_grass,NA
parcel_percent_some_stress,integer,percent_greenish_yellow_grass,5
parcel_percent_moderate_stress,integer,percent_yellowish_grass,NA
parcel_percent_severe_stress,integer,percent_brownish_grass,NA
cv_lawn_health_id,integer,rate_the_overall_lawn_color_including_grass_and_weeds,little stress
cv_lawn_quality_id,integer,overall_lawn_quality,"mostly monoculture with few weeds, overall greenish-yellow yard"
presence_of_lawn_trimmed,boolean,lawn_edges_trimmed,yes
presence_of_recent_cut,boolean,recently_mowed,no
parcel_grass_height,integer,grass_height_cm,9
parcel_weed_height,integer,weed_height_cm,100
parcel_feature_comments,character,notable_comment_about_the_yard,NA
,,,
,,unused,
,,total_composition_45,100
,,total_composition_53,100
,,watering_regimes_not_irrigated,0
,,hip_parcel_composition_calc,100
,,hip_parcel_grass_color_calc,100
parcel_residence_type,character,from parcels; moved to HI in database,
parcel_social_class,character,from parcels; moved to HI in database,
parcel_survey_id,integer,autoincrement,
