name,width,type,fmtstr,value,aggregators
human_survey_id,17,,,1,
survey_id,11,,,371,
vegetation_rope_length,20,,,,
human_presence_of_path,20,,,,
human_footprints,18,,,some,
human_bike_tracks,19,,,,
human_off_road_vehicle,20,,,,
human_small_litter,20,,,,
human_dumped_trash_bags,20,,,,
human_abandoned_vehicles,20,,,,
human_graffiti,,,,,
human_injured_plants,,,,,
human_informal_play,,,,,
human_informal_recreation,,,,,
human_informal_living,,,,,
human_sports_equipment,,,,,
human_number_cars,,,,,
human_number_motorcycles,,,,,
human_number_bycicles,,,,,
human_number_houses,,,,,
human_number_rvs,,,,,
human_social_class,,,,,
appears_maintained,,,,,
appears_professional,,,,,
appears_healthy,,,,,
appears_injured,,,,,
presence_of_open_ground,,,,t,
presence_of_trees,,,,t,
presence_of_shrubs,,,,t,
presence_of_cacti_succ,,,,t,
presence_of_lawn,,,,f,
presence_of_herbacous_ground,,,,t,
presence_of_other,,,,f,
presence_of_hand_water,,,,f,
presence_of_drip_water,,,,f,
presence_of_overhead_water,,,,f,
presence_of_flood_water,,,,,
presence_of_subterranean_water,,,,,
presence_of_no_water,,,,,
presence_of_pervious_irrigation,,,,,
weather_on_the_day,,,,sunshine,
weather_recent_rain_notes,,,,no,
general_description,,,,,
timestamp_val,,,,2014-11-19 17:02:03,
