site,ss_date,date,samp_date,survey_type,matches,ss_site,ss_focus,survey_id,site_id
AB10,2023-04-25,2023-04-25,2023-05-17,plot,False,AB10,plot,1085,10
AC7,2023-04-20,2023-04-20,2023-05-17,plot,False,AC7,plot,1082,34
AC9,2023-04-17,2023-04-17,2023-05-17,plot,False,AC9,plot,1078,35
AD10,2023-04-24,2023-04-24,2023-05-17,plot,False,AD10,plot,1084,36
AD19,2023-05-05,2023-05-05,2023-05-18,plot,False,AD19,plot,1096,40
F12,2023-03-29,2023-03-29,2023-03-30,plot,False,F12,plot,1068,63
J16,2023-04-28,2023-04-28,2023-05-17,plot,False,J16,plot,1089,83
Q12,2023-05-12,2023-05-12,2023-09-25,plot,False,Q12,plot,1105,121
T20,2023-04-21,2023-04-21,2023-05-17,plot,False,T20,plot,1083,174
U13,2023-04-18,2023-04-18,2023-05-17,plot,False,U13,plot,1079,181
U20,2023-04-04,2023-04-04,2023-04-06,plot,False,U20,plot,1070,188
U6,2023-04-19,2023-04-19,2023-05-17,plot,False,U6,plot,1080,190
U8,2023-04-19,2023-04-19,2023-05-17,plot,False,U8,plot,1081,191
V20,2023-04-14,2023-04-14,2023-05-17,plot,False,V20,plot,1076,203
V7,2023-04-26,2023-04-26,2023-05-17,plot,False,V7,plot,1086,206
W19,2023-03-08,2023-03-08,2023-04-06,plot,False,W19,plot,1065,221
W19,2023-03-08,2023-03-08,2023-04-06,plot,False,W19,plot,1065,221
W19,2023-03-09,2023-03-09,2023-04-06,plot,False,W19,plot,1065,221
X15,2023-04-13,2023-04-13,2023-05-17,plot,False,X15,plot,1077,233
X18,2023-03-07,2023-03-07,2023-04-06,plot,False,X18,plot,1064,236
