taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Multareoides bifurcatus,,,,Multareoides bifurcatus,Species,GBIF Backbone Taxonomy,2023605,0.988,
Arhyssus,,,,Arhyssus,Genus,GBIF Backbone Taxonomy,2050246,0.75,
Apateticus,,,,Apateticus,Genus,GBIF Backbone Taxonomy,2079179,0.75,
Scenopinidae,,,,Scenopinidae,Family,GBIF Backbone Taxonomy,3526,0.75,
Plecoptera,,,,Plecoptera,Order,GBIF Backbone Taxonomy,787,0.75,
Sceliphron caementarium,,,,Sceliphron caementarium,Species,GBIF Backbone Taxonomy,5041466,0.988,
Halictidae,,,,Halictidae,Family,GBIF Backbone Taxonomy,7908,0.75,
Hemerobiidae,,,,Hemerobiidae,Family,GBIF Backbone Taxonomy,3532,0.75,
Hemiptera,,,,Hemiptera,Order,GBIF Backbone Taxonomy,809,0.75,
Hymenoptera,,,,Hymenoptera,Order,GBIF Backbone Taxonomy,1457,0.75,
Ichneumonidae,,,,Ichneumonidae,Family,GBIF Backbone Taxonomy,3512,0.75,
Lepidoptera,,,,Lepidoptera,Order,GBIF Backbone Taxonomy,797,0.75,
Linyphiidae,,,,Linyphiidae,Family,GBIF Backbone Taxonomy,3415,0.75,
Lygaeidae,,,,Lygaeidae,Family,GBIF Backbone Taxonomy,7888,0.75,
Melyridae,,,,Melyridae,Family,GBIF Backbone Taxonomy,7838,0.75,
Membracidae,,,,Membracidae,Family,GBIF Backbone Taxonomy,7889,0.75,
Miridae,,,,Miridae,Family,GBIF Backbone Taxonomy,4319,0.75,
Mymaridae,,,,Mymaridae,Family,GBIF Backbone Taxonomy,9444,0.75,
Nabidae,,,,Nabidae,Family,GBIF Backbone Taxonomy,7891,0.75,
Nitidulidae,,,,Nitidulidae,Family,GBIF Backbone Taxonomy,7840,0.75,
Oxyopidae,,,,Oxyopidae,Family,GBIF Backbone Taxonomy,5636,0.75,
Bruchidae,,,,Bruchidae,Family,GBIF Backbone Taxonomy,3260349,0.75,
Paratrechina,,,,Paratrechina,Genus,GBIF Backbone Taxonomy,1325421,0.75,
Plectreuridae,,,,Plectreuridae,Family,GBIF Backbone Taxonomy,5642,0.75,
Psocoptera,,,,,,,,,
Psyllidae,,,,Psyllidae,Family,GBIF Backbone Taxonomy,7632,0.75,
Pteromalidae,,,,Pteromalidae,Family,GBIF Backbone Taxonomy,9447,0.75,
Pyralidae,,,,Pyralidae,Family,GBIF Backbone Taxonomy,5336,0.75,
Reduviidae,,,,Reduviidae,Family,GBIF Backbone Taxonomy,4324,0.75,
Rhopalidae,,,,Rhopalidae,Family,GBIF Backbone Taxonomy,4325,0.75,
Salticidae,,,,Salticidae,Family,GBIF Backbone Taxonomy,5644,0.75,
Scarabaeidae,,,,Scarabaeidae,Family,GBIF Backbone Taxonomy,5840,0.75,
Sciaridae,,,,Sciaridae,Family,GBIF Backbone Taxonomy,3525,0.75,
Anystoidea,,,,,,,,,
Anystidae,,,,Anystidae,Family,GBIF Backbone Taxonomy,2824,0.75,
