site,coll. date,height (cm),pan wt (g),pan + fresh wt (g),pan + dry wt > 2mm (g),pan + dry wt < 2mm (g),rocks,veg matter,total soil dry wt,bulk density (g/cm3),pan #,pan tare,pan + soil wt,pan + dry soil,pan + dry soil,smcf,pan + dry soil,% soil moisture,% organic matter
AA17,5/26/2023,14.4,8.6,386.5,381.3,146.3,233.3,0,510.4,1.749649642,,,,,,,,,
AA18,6/5/2023,14.5,4.5,407.8,397.9,183.2,213.5,0,572.1,1.947631833,,,,,,,,,
AA19,6/2/2023,15.5,8.3,366.3,326.6,319.7,5.5,0.1,629.7,2.005418024,,,,,,,,,
AB10,4/25/2023,15.5,4.5,434.4,431.4,246.4,182.9,0.2,668.8,2.129940566,,,,,,,,,
AB11,5/2/2023,13.7,4.4,399.4,299.6,225.1,172.6,0.2,515.9,1.858865125,,,,,,,,,
AB16,6/6/2023,14.9,4.5,429.6,294.5,379.7,47.7,0,665.2,2.203783316,,,,,,,,,
AB17,6/6/2023,15.2,4.4,369.1,355.1,205.7,148.1,0,552,1.792661983,,,,,,,,,
AB21,5/31/2023,15.2,4.4,405.1,399.2,306.8,90.7,0,697.2,2.264210026,,,,,,,,,
AB22,5/31/2023,14.4,4.5,450.8,450.4,220.1,228.5,0,661.5,2.267619981,,,,,,,,,
AC11,5/4/2023,14.7,8.3,413.5,411.5,269.5,141.3,0.1,664.4,2.231080332,,,,,,,,,
AC16,6/5/2023,8.1,4.4,235,234.2,171.8,61.3,0.2,397.2,2.420622912,,,,,,,,,
AC19,6/1/2023,15.1,4.5,416.3,404.8,285.2,117.7,0,681,2.226245647,,,,,,,,,
AC20,6/1/2023,15.5,8.4,420,382.3,311.4,62.3,2.9,676.9,2.155736796,,,,,,,,,
AC21,5/5/2023,14.9,4.5,412,409.1,396.8,10.3,0,796.9,2.640100608,,,,,,,,,
AC22,5/30/2023,15.5,8.2,364.5,341.2,274.5,64.8,0,599.3,1.908602543,,,,,,,,,
AC7,4/20/2023,15.2,4.5,410.6,407.6,173,232.4,0,571.6,1.856314474,,,,,,,,,
AC9,4/17/2023,13.9,4.4,390.2,390.3,295.7,91.9,0.6,677.2,2.404944552,,,,,,,,,
AD10,4/24/2023,14.6,4.5,339.8,334.3,172.4,160.6,0.1,497.7,1.682742655,,,,,,,,,
AE23,5/31/2023,15.2,8.1,378.7,370.6,95.5,273.9,0.4,449.9,1.461084468,,,,,,,,,
AE7,5/3/2023,15.5,8.2,446.6,446.3,191.9,263,0.2,621.8,1.980258738,,,,,,,,,
AF12,4/7/2023,15,4.4,376.2,337.3,192.4,176.7,2.4,520.9,1.714217866,,,,,,,,,
AF14,4/5/2023,10.5,4.5,280.6,277.5,132,143.9,0.5,400.5,1.882851809,,,,,,,,,
AF23,5/30/2023,15.5,8.2,366.5,336.4,314.1,17,1.6,634.1,2.01943079,,,,,,,,,
E8,3/31/2023,15.5,8.2,454.6,447.8,309.2,72.5,2.5,740.6,2.358603443,,,,,,,,,
E12,3/29/2023,14.3,4.5,347.5,341,197.9,141.8,0,529.9,1.829198349,,,,,,,,,
F12,3/30/2023,15.5,4.5,438.9,422.7,325.5,93.9,0,739.2,2.354144836,,,,,,,,,
F15,6/14/2023,14.6,4.5,413.9,413.6,367.8,45.4,0,772.4,2.611513817,,,,,,,,,
F19,6/12/2023,15.1,4.4,410.3,401.9,349.8,49.5,0,742.9,2.428601896,,,,,,,,,
F8,5/22/2023,14.2,4.5,352.7,343.7,292.2,49.9,0.1,626.9,2.179279051,,,,,,,,,
G15,5/19/2023,13.3,4.4,334.1,329.8,261.7,66.7,0.1,582.7,2.162700078,,,,,,,,,
H16,6/12/2023,15,4.5,424.7,424.1,412,11.1,0.2,827.1,2.721884425,,,,,,,,,
H19,6/9/2023,15.2,4.5,341.3,338.4,335.4,0.2,0,664.8,2.158988562,,,,,,,,,
I17,4/12/2023,14.5,4.5,416.4,413.2,343,68.5,0.1,747.2,2.543734497,,,,,,,,,
J16,4/28/2023,10.7,4.4,304.6,303.9,124.2,177.7,0.1,419.3,1.934389844,,,,,,,,,
K12,3/24/2023,13.2,4.4,351.3,332.7,178.8,153,0.2,502.7,1.879913526,,,,,,,,,
L13,5/11/2023,14.2,4.4,408.1,407,371.8,31.9,0.1,770,2.676734518,,,,,,,,,
L14,6/9/2023,14.8,4.4,425,425.2,342.5,80.9,0,758.9,2.531195887,,,,,,,,,
M16,5/18/2023,13.7,4.5,366,364.4,359.9,3.9,0,715.3,2.57733325,,,,,,,,,
M7,5/22/2023,13.9,4.5,431.1,431.1,308.9,120.7,0.1,731,2.596004825,,,,,,,,,
N12,5/11/2023,15.5,8.2,477.3,450.4,272,184.3,0,706,2.24841214,,,,,,,,,
N17,5/18/2023,15.5,4.5,447.7,445,388.6,54.6,0,824.6,2.626119902,,,,,,,,,
O17,5/18/2023,14.9,4.5,430.4,419.8,338.2,79.4,0,749,2.481409657,,,,,,,,,
O9,5/25/2023,15,4.5,446.7,446.2,,,,437.2,1.438771455,,,,,,,,,
P8,5/25/2023,15.5,4.4,401.4,399.8,262.2,136.9,0,653.2,2.080258938,,,,,,,,,
Q12,5/12/2023,14.4,8.4,435.9,401.4,272.5,124.8,0,657.1,2.252536795,,,,,,,,,
Q16,5/19/2023,15.3,4.4,399.1,388.4,276.3,110.2,0,655.9,2.11616301,,,,,,,,,
