arthropod_taxon_id,code,arth_class,arth_order,arth_family,arth_genus_subgenus,old_name,display_name,Source,display_name_altered,action,note
687,,Insecta,Hemiptera,Membracidae,Multareoides bifurcatus,,Multareoides bifurcatus,,,,
729,,Insecta,Hemiptera,Rhopalidae,Arhyssus,,Arhyssus,,,,
738,,Insecta,Hemiptera,Pentatomidae,Apateticus,,Apateticus,,,,
764,,Insecta,Diptera,Scenopinidae,,,Scenopinidae,,,,
765,,Insecta,Plecoptera,,,,Plecoptera,,,,
772,,Insecta,Hymenoptera,Sphecidae,Sceliphron caementarium,,Sceliphron caementarium,,,,
8,HALICT,Insecta,Hymenoptera,Halictidae,,,Halictidae,,,,
9,HEMER,Insecta,Neuroptera,Hemerobiidae,,,Hemerobiidae,,,,
10,HEMIMM,Insecta,Hemiptera,,,,Hemiptera (immature),,,,
11,HEMIPT,Insecta,Hemiptera,,,,Hemiptera,,,,
827,,Insecta,Diptera,Fanniidae,fanniinae,,fanniinae,,,add to 716 then delete,
15,HYMENO,Insecta,Hymenoptera,,,,Hymenoptera,,,,
16,ICHNEU,Insecta,Hymenoptera,Ichneumonidae,,,Ichneumonidae,,,,
23,LEPIDO,Insecta,Lepidoptera,,,,Lepidoptera,,,,
24,LEPIMM,Insecta,Lepidoptera,,,,Lepidoptera (immature),,,,
27,LINYP,Arachnida,Araneae,Linyphiidae,,,Linyphiidae,,,,
33,LYGAE,Insecta,Hemiptera,Lygaeidae,,,Lygaeidae,,,,
34,LYGIMM,Insecta,Hemiptera,Lygaeidae,,,Lygaeidae (immature),,,,
40,MELYR,Insecta,Coleoptera,Melyridae,,,Melyridae,,,,
41,MEMBRA,Insecta,Hemiptera,Membracidae,,,Membracidae,,,,
44,MIRAD,Insecta,Hemiptera,Miridae,,,Miridae,,1,combine 44 and 45,
45,MIRID,Insecta,Hemiptera,Miridae,,,Miridae,,,combine 44 and 45,
46,MIRIMM,Insecta,Hemiptera,Miridae,,,Miridae (immature),,,,
50,MYMAR,Insecta,Hymenoptera,Mymaridae,,,Mymaridae,,,,
54,NABID,Insecta,Hemiptera,Nabidae,,,Nabidae,,,,
56,NITID,Insecta,Coleoptera,Nitidulidae,,,Nitidulidae,,,,
62,OXYOP,Arachnida,Araneae,Oxyopidae,,,Oxyopidae,,,,
63,BRUCHI,Insecta,Coleoptera,Chrysomelidae,Bruchinae,,Bruchinae,,1,,
64,PARAT,Insecta,Hymenoptera,Formicidae,Paratrechina,,Paratrechina,,,,
69,PLECT,Arachnida,Araneae,Plectreuridae,,,Plectreuridae,,,,
73,PSOCOP,Insecta,Psocodea,,,,Psocoptera,,,,
74,PSYLL,Insecta,Hemiptera,Psyllidae,,,Psyllidae,,,,
75,PTEROM,Insecta,Hymenoptera,Pteromalidae,,,Pteromalidae,,,,
76,PYRAL,Insecta,Lepidoptera,Pyralidae,,,Pyralidae,,,,
77,REDUVI,Insecta,Hemiptera,Reduviidae,,,Reduviidae,,,,
78,RHOPA,Insecta,Hemiptera,Rhopalidae,,,Rhopalidae,,,,
79,SALTIC,Arachnida,Araneae,Salticidae,,,Salticidae,,,,
80,Scale,Insecta,Hemiptera,Coccoidea,,,Coccoidea,,1,,see 206 and 213
81,SCARAB,Insecta,Coleoptera,Scarabaeidae,,,Scarabaeidae,,,,
82,SCIARI,Insecta,Diptera,Sciaridae,,,Sciaridae,,,,
688,,Arachnida,Trombidiformes,Anystoidea,,,Anystoidea,,,,
689,,Arachnida,Trombidiformes,Anystidae,,,Anystidae,,,,zero occurences
690,,Arachnida,Trombidiformes,Bdellidae,,,Bdellidae,,,,
691,,Arachnida,Trombidiformes,Caeculidae,,,Caeculidae,,,,
87,SMINTH,Collembola,Symphypleona,Sminthuridae,,,Sminthuridae,,,,
88,SOLEN,Insecta,Hymenoptera,Formicidae,Solenopsis,,Solenopsis,,,,
692,,Arachnida,Trombidiformes,Erythraeoidea,,,Erythraeoidea,,,,
90,SPHEC,Insecta,Hymenoptera,Sphecidae,,,Sphecidae,,,,
91,STAPHY,Insecta,Coleoptera,Staphylinidae,,,Staphylinidae,,,,
693,,Arachnida,Trombidiformes,Erythraeidae,,,Erythraeidae,,,,
93,SYRPHI,Insecta,Diptera,Syrphidae,,,Syrphidae,,,,
694,,Arachnida,Oribatida,,,,Oribatida,,,,zero occurences
695,,Arachnida,Trombidiformes,Trombidioidea,,,Trombidioidea,,,,zero occurences
730,,Insecta,Hymenoptera,Formicidae,Dorymyrmex,,Dorymyrmex,,,,
97,THERII,Arachnida,Araneae,Theridiidae,,,Theridiidae,,,,
98,THOMI,Arachnida,Araneae,Thomisidae,,,Thomisidae,,,,
