taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
Multareoides bifurcatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arhyssus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apateticus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scenopinidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plecoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chironomidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chloropidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysomelidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysopidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicadellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectromatopsis americana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryopis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coccinellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Listrus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnaphosidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meloidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zygentoma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milichiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mimetidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muscidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sceliphron caementarium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halictidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemerobiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ichneumonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linyphiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lygaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melyridae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Membracidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miridae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mymaridae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nabidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitidulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxyopidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bruchidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paratrechina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plectreuridae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psocoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psyllidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteromalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyralidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reduviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhopalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salticidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scarabaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
