land use class,land use class percent,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
Urban; Residential; Single family; Mixed,100,1,ESCA_parcel,1,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mixed,100,2,ESCA_parcel,2,234476029,1ab0addb-eb28-4a03-9723-e2eb735e79fb,2023-04-27 23:51:08,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,3,ESCA_parcel,3,235173820,53b4d74d-5223-4a96-9a41-581c1db0f55e,2023-05-01 19:02:22,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mixed,100,4,ESCA_parcel,4,236786628,b1219150-0fb4-43f4-aef1-4eb2582716d4,2023-05-08 22:53:00,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mesic,100,5,ESCA_parcel,5,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,6,ESCA_parcel,6,237622027,a57f0291-a799-4cb1-acf3-3fa901d8eaa3,2023-05-11 22:35:01,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,7,ESCA_parcel,7,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,8,ESCA_parcel,8,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,9,ESCA_parcel,9,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mesic,100,10,ESCA_parcel,10,240721082,e55b1f33-d754-47cb-9b3e-488fa2a99d51,2023-05-24 19:32:53,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential,75,11,ESCA_parcel,11,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Transportation; Major Roads,25,12,ESCA_parcel,11,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family,100,13,ESCA_parcel,12,242318670,c7eb0f79-c32d-4889-ab73-adc928afb373,2023-05-30 23:39:21,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,14,ESCA_parcel,13,242612625,2cc9131d-e76f-4c33-8f5e-5c4847aff003,2023-05-31 21:54:46,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mesic,100,15,ESCA_parcel,14,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,16,ESCA_parcel,15,243103424,91b2b540-2c2a-434e-b276-edac9d26e10a,2023-06-02 20:13:44,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Xeric,100,17,ESCA_parcel,16,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mixed,100,18,ESCA_parcel,17,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
Urban; Residential; Single family; Mesic,100,19,ESCA_parcel,18,246489904,33b25105-5501-4fc8-ad33-094734553056,2023-06-16 20:35:38,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
