synoptic photo of the plot,synoptic photo of the plot_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1678223976623.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F06d0fc4b-7653-4d0c-979e-c1e6f1df11ce%2F1678223976623.jpg,1,ESCA_plot,1,224053948,4de9d568-8ee2-412e-bab3-4f6bab11ec41,2023-03-09 22:36:10,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1678307115998.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fd08ddbed-6352-4907-81a8-b2bf233f846f%2F1678307115998.jpg,2,ESCA_plot,2,224053950,4b7e856e-8631-4170-a3c2-f13979b8502e,2023-03-09 22:36:13,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1678307143025.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fd08ddbed-6352-4907-81a8-b2bf233f846f%2F1678307143025.jpg,3,ESCA_plot,2,224053950,4b7e856e-8631-4170-a3c2-f13979b8502e,2023-03-09 22:36:13,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1678307285002.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fd08ddbed-6352-4907-81a8-b2bf233f846f%2F1678307285002.jpg,4,ESCA_plot,2,224053950,4b7e856e-8631-4170-a3c2-f13979b8502e,2023-03-09 22:36:13,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1679683844607.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fbb9318c6-fa64-4cdf-abeb-9a744619f4cd%2F1679683844607.jpg,5,ESCA_plot,3,228115641,bb9318c6-fa64-4cdf-abeb-9a744619f4cd,2023-03-27 14:58:30,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1679683891460.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fbb9318c6-fa64-4cdf-abeb-9a744619f4cd%2F1679683891460.jpg,6,ESCA_plot,3,228115641,bb9318c6-fa64-4cdf-abeb-9a744619f4cd,2023-03-27 14:58:30,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1680283259094.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F0370f735-ac03-40b6-80b4-cd4552da4510%2F1680283259094.jpg,7,ESCA_plot,4,229300495,0370f735-ac03-40b6-80b4-cd4552da4510,2023-03-31 20:58:29,,,submitted_via_web,caplter_luke,v3MMdbmywXTKKWSPkwFt4d,
1680283336693.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F0370f735-ac03-40b6-80b4-cd4552da4510%2F1680283336693.jpg,8,ESCA_plot,4,229300495,0370f735-ac03-40b6-80b4-cd4552da4510,2023-03-31 20:58:29,,,submitted_via_web,caplter_luke,v3MMdbmywXTKKWSPkwFt4d,
1680113636978.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F11c407dc-d763-4691-8f53-4f3db70df25f%2F1680113636978.jpg,9,ESCA_plot,5,229301342,11c407dc-d763-4691-8f53-4f3db70df25f,2023-03-31 21:02:44,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1680205180168.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fdae2e11f-44bc-4cc5-a16b-b7723491776b%2F1680205180168.jpg,10,ESCA_plot,6,229301501,dae2e11f-44bc-4cc5-a16b-b7723491776b,2023-03-31 21:03:53,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
