shrub image,shrub image_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1678230683879.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230683879.jpg,1,shrub_measurement_repeat,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678230688222.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230688222.jpg,2,shrub_measurement_repeat,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678230702504.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230702504.jpg,3,shrub_measurement_repeat,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678230851657.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230851657.jpg,4,shrub_measurement_repeat,2,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678230859123.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230859123.jpg,5,shrub_measurement_repeat,2,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678230953372.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230953372.jpg,6,shrub_measurement_repeat,3,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678230960399.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678230960399.jpg,7,shrub_measurement_repeat,3,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678231118162.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231118162.jpg,8,shrub_measurement_repeat,4,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678231123347.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231123347.jpg,9,shrub_measurement_repeat,4,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678231344774.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231344774.jpg,10,shrub_measurement_repeat,5,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678231432958.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231432958.jpg,11,shrub_measurement_repeat,6,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678231438621.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231438621.jpg,12,shrub_measurement_repeat,6,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678231443611.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231443611.jpg,13,shrub_measurement_repeat,6,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678318848175.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F3d64da80-c9fc-4b40-bfb7-81512912d703%2F1678318848175.jpg,14,shrub_measurement_repeat,13,224011635,3d64da80-c9fc-4b40-bfb7-81512912d703,2023-03-09 17:33:29,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678319268602.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F3d64da80-c9fc-4b40-bfb7-81512912d703%2F1678319268602.jpg,15,shrub_measurement_repeat,14,224011635,3d64da80-c9fc-4b40-bfb7-81512912d703,2023-03-09 17:33:29,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678309079279.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678309079279.jpg,16,shrub_measurement_repeat,18,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678309025062.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678309025062.jpg,17,shrub_measurement_repeat,19,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678309181819.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678309181819.jpg,18,shrub_measurement_repeat,20,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678309992489.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678309992489.jpg,19,shrub_measurement_repeat,21,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678312164085.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678312164085.jpg,20,shrub_measurement_repeat,24,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
