start,end,today,audit,audit_URL,site,survey_type,date,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2023-03-07 14:21:57,2023-10-03 11:57:59,2023-03-07,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2Fdd7a6615-abb0-4acc-b446-6a427e26e54c%2Faudit.csv,X18,plot,2023-10-03,224011493,a6be3bfb-a58a-46ee-94be-f8d235c9e4e9,2023-03-09 17:32:48,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,1
2023-03-08 14:22:12,2023-03-08 16:01:03,2023-03-08,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2Fc7c18994-f5a9-41c1-8034-d54bc3ea6d91%2Faudit.csv,W19,plot,2023-03-08,224011506,c7c18994-f5a9-41c1-8034-d54bc3ea6d91,2023-03-09 17:32:52,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,2
2023-03-24 10:30:09,2023-10-03 09:48:07,2023-03-24,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2F42aeedad-4724-493b-9246-efab42b30c0e%2Faudit.csv,K12,plot,2023-10-03,228115618,8c82844f-5845-4827-b106-59cd42ac2dc9,2023-03-27 14:58:27,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,3
2023-03-29 12:43:36,2023-10-03 09:47:00,2023-03-29,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2Fd17f06f7-f4e6-4bac-b302-013f23cd58a9%2Faudit.csv,F12,plot,2023-10-03,229301493,63e17ec2-ef8f-442d-a76a-f1d317b261a1,2023-03-31 21:03:42,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,4
2023-04-04 12:52:04,2023-10-03 09:42:39,2023-04-04,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2Fee2bc8e5-9315-4dd3-b687-8950d3aea956%2Faudit.csv,U20,plot,2023-10-03,230550253,0cb467e9-2738-42e3-97d5-598f6133d579,2023-04-06 23:40:40,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,5
2023-04-05 11:54:24,2023-10-03 09:39:20,2023-04-05,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2F03ee11c2-f660-4804-9f2b-fc8ff593743d%2Faudit.csv,AF14,plot,2023-10-03,230550263,52f60fcf-72ac-4837-bf98-9eb188ff3f5f,2023-04-06 23:40:52,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,6
2023-04-06 11:54:15,2023-10-03 09:35:17,2023-04-06,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2F8eb54845-620d-41af-a518-79e10359a585%2Faudit.csv,V19,plot,2023-10-03,230550271,e36bfbec-5f0b-4fef-bca7-87912a9bdf69,2023-04-06 23:41:06,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,7
2023-04-07 12:19:51,2023-10-03 09:32:18,2023-04-07,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2Fe10db6ab-d907-45ec-86a3-762adece2e4b%2Faudit.csv,AF12,plot,2023-10-03,230692621,826dd644-0a65-4abb-8009-784b97346dc4,2023-04-07 21:02:30,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,8
2023-04-10 11:34:05,2023-10-03 09:30:03,2023-04-10,audit.csv,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2F61a2cb96-caa2-4878-8f48-c86ea6eae6e2%2Faudit.csv,T21,plot,2023-10-03,231097263,83c89f3a-f1b1-4f16-9974-5b327c0daf43,2023-04-10 21:17:07,,,submitted_via_web,caplter_leia,v4LsTiWkeaaVTdFe7usig9,,9
2023-04-12 09:43:55,2023-04-12 10:28:30,2023-04-12,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F158e2ea65cd34cb4849e3d4befdf7fac%2F54458818-9129-459a-ab0d-602a7a00a442%2Faudit.csv,I17,plot,2023-04-12,231587223,54458818-9129-459a-ab0d-602a7a00a442,2023-04-12 19:14:42,,,submitted_via_web,caplter_leia,v4P3qsoNR2RRmpL9pidzEM,,10
