front or back yard,yard upkeep and appearance,yard orderliness (placement of plants riverbed etc),features in the yard,features in the yard/bird feeder,features in the yard/water feature,features in the yard/front porch,features in the yard/cats,features in the yard/dogs,features in the yard/pet or animal waste,features in the yard/religious ornaments or statues,features in the yard/flagpole,features in the yard/cars in yard but not in the driveway,features in the yard/potted plants,features in the yard/play equipment,features in the yard/lawn ornaments,features in the yard/chairs or tables,features in the yard/landscaped rock or river bed,features in the yard/created yard topography,features in the yard/litter or refuse on the ground,features in the yard/vegetation litter like leaves,features in the yard/yard maintenance tools,features in the yard/light post,features in the yard/other,watering regimes,watering regimes/hand watering,watering regimes/drip or trickle,watering regimes/overhead spray,watering regimes/flood,watering regimes/not irrigated,predominant landscape type,describe the landscape,amount of grass,percent of weeds in non-grass or xeric areas,are there weeds in other areas of the yard such as flowerbeds or the driveway,evidence of tree pruning such as cut branches,evidence of shrub pruning such as shaped shrubs,estimate to the nearest 5 per cent,percent living grass,percent bare ground,percent dead or dormant grass,percent weeds,percent other,hip_parcel_composition_calc,total composition,estimate to the nearest 5 per cent,percent very green grass,percent moderately green grass,percent greenish-yellow grass,percent yellowish grass,percent brownish grass,hip_parcel_grass_color_calc,total composition,percent of weeds IN grass area,grass patchiness,rate the overall lawn color (including grass and weeds),overall lawn quality,lawn edges trimmed?,recently mowed?,grass height (cm),weed height (cm),notable comment about the yard,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
front,good,medium,bird feeder front porch potted plants light post chairs or tables,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,hand watering drip or trickle,1,1,0,0,0,mixed,,about half,10 to 25 percent,yes,yes,yes,,95,0,0,5,,100,100,,95,,5,,,100,100,more than 50 percent,there are patches of weeds or bare spots present,little stress,"mostly monoculture with few weeds, overall greenish-yellow yard",yes,no,9,100,,1,ESCA_parcel,1,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,medium,pet or animal waste play equipment chairs or tables potted plants vegetation litter like leaves yard maintenance tools,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,drip or trickle hand watering,1,1,0,0,0,mixed,,less than half,less than 10 percent,yes,yes,no,,,75,,5,20,100,100,,,,,,,0,0,no grass area,,,,,,,,,2,ESCA_parcel,1,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,professionally maintained,highly structured or designed,front porch potted plants landscaped rock or river bed,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,hand watering drip or trickle,1,1,0,0,0,mixed,,none,less than 10 percent,yes,yes,yes,,0,0,0,5,95,100,100,,,,,,,,,,,,,,,,,,3,ESCA_parcel,2,234476029,1ab0addb-eb28-4a03-9723-e2eb735e79fb,2023-04-27 23:51:08,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,highly structured or designed,water feature potted plants chairs or tables landscaped rock or river bed,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,hand watering drip or trickle,1,1,0,0,0,mixed,,none,less than 10 percent,yes,yes,yes,,0,5,0,5,90,100,100,,,,,,,,,,,,,,,,,,4,ESCA_parcel,2,234476029,1ab0addb-eb28-4a03-9723-e2eb735e79fb,2023-04-27 23:51:08,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,professionally maintained,highly structured or designed,front porch potted plants lawn ornaments chairs or tables landscaped rock or river bed created yard topography,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,hand watering drip or trickle,1,1,0,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,99,0,1,,100,100,,,,,,,,,,,,,,,,,,5,ESCA_parcel,3,235173820,53b4d74d-5223-4a96-9a41-581c1db0f55e,2023-05-01 19:02:22,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
rear,professionally maintained,highly structured or designed,front porch potted plants lawn ornaments chairs or tables landscaped rock or river bed created yard topography vegetation litter like leaves,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,hand watering drip or trickle,1,1,0,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,99,,1,,100,100,,,,,,,,,,,,,,,,,,6,ESCA_parcel,3,235173820,53b4d74d-5223-4a96-9a41-581c1db0f55e,2023-05-01 19:02:22,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch landscaped rock or river bed litter or refuse on the ground vegetation litter like leaves light post,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,hand watering drip or trickle,1,1,0,0,0,xeric,,none,less than 10 percent,no,no,yes,,0,85,0,5,10,100,100,,,,,,,,,,,,,,,,,,7,ESCA_parcel,4,236786628,b1219150-0fb4-43f4-aef1-4eb2582716d4,2023-05-08 22:53:00,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,highly structured or designed,potted plants play equipment chairs or tables landscaped rock or river bed litter or refuse on the ground yard maintenance tools vegetation litter like leaves,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,hand watering drip or trickle,1,1,0,0,0,xeric,,less than half,less than 10 percent,yes,no,no,,0,90,,5,5,100,100,,0,0,0,0,0,0,0,no grass area,,,,,,,,,8,ESCA_parcel,4,236786628,b1219150-0fb4-43f4-aef1-4eb2582716d4,2023-05-08 22:53:00,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
front,good,medium,vegetation litter like leaves litter or refuse on the ground lawn ornaments front porch potted plants light post,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,hand watering drip or trickle,1,1,0,0,0,mesic,,more than half,10 to 25 percent,yes,yes,yes,,35,5,0,30,30,100,100,,80,5,5,5,5,100,100,more than 50 percent,there are patches of weeds or bare spots present,some stress,"mixed grass and weeds, evenly distributed, and overall moderately green",yes,yes,8,18,,9,ESCA_parcel,5,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,medium,cats potted plants chairs or tables front porch yard maintenance tools lawn ornaments vegetation litter like leaves,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,hand watering drip or trickle,1,1,0,0,0,mesic,,more than half,10 to 25 percent,yes,yes,yes,,85,5,5,5,,100,100,,50,45,0,0,5,100,100,10 to 25 percent,there are patches of weeds or bare spots present,some stress,"mixed grass and weeds, evenly distributed, and overall moderately green",yes,no,10,16,,10,ESCA_parcel,5,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch litter or refuse on the ground vegetation litter like leaves landscaped rock or river bed potted plants,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,hand watering drip or trickle,1,1,0,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,95,0,5,0,100,100,,,,,,,,,,,,,,,,,,11,ESCA_parcel,6,237622027,a57f0291-a799-4cb1-acf3-3fa901d8eaa3,2023-05-11 22:35:01,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch light post vegetation litter like leaves litter or refuse on the ground chairs or tables landscaped rock or river bed pet or animal waste,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,hand watering drip or trickle overhead spray,1,1,1,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,75,0,5,20,100,100,,,,,,,,,,,,,,,,,,12,ESCA_parcel,7,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,medium,front porch dogs yard maintenance tools vegetation litter like leaves lawn ornaments chairs or tables bird feeder water feature pet or animal waste potted plants landscaped rock or river bed litter or refuse on the ground,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,hand watering drip or trickle overhead spray,1,1,1,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,85,0,5,10,100,100,,,,,,,,,,,,,,,,,,13,ESCA_parcel,7,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
