synoptic photo of the parcel,synoptic photo of the parcel_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1682632563949.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F973092fd-91a1-4b3d-8761-64162e226dc7%2F1682632563949.jpg,1,front_back_yard_repeat,1,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1682633071335.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F973092fd-91a1-4b3d-8761-64162e226dc7%2F1682633071335.jpg,2,front_back_yard_repeat,2,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1682633085368.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F973092fd-91a1-4b3d-8761-64162e226dc7%2F1682633085368.jpg,3,front_back_yard_repeat,2,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1682962241509.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F53b4d74d-5223-4a96-9a41-581c1db0f55e%2F1682962241509.jpg,4,front_back_yard_repeat,5,235173820,53b4d74d-5223-4a96-9a41-581c1db0f55e,2023-05-01 19:02:22,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1682962358222.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F53b4d74d-5223-4a96-9a41-581c1db0f55e%2F1682962358222.jpg,5,front_back_yard_repeat,6,235173820,53b4d74d-5223-4a96-9a41-581c1db0f55e,2023-05-01 19:02:22,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1683581109310.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fb1219150-0fb4-43f4-aef1-4eb2582716d4%2F1683581109310.jpg,6,front_back_yard_repeat,7,236786628,b1219150-0fb4-43f4-aef1-4eb2582716d4,2023-05-08 22:53:00,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1683581531545.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fb1219150-0fb4-43f4-aef1-4eb2582716d4%2F1683581531545.jpg,7,front_back_yard_repeat,8,236786628,b1219150-0fb4-43f4-aef1-4eb2582716d4,2023-05-08 22:53:00,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1683746551546.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F4004ccf1-a217-4199-b5f8-f5b113469e24%2F1683746551546.jpg,8,front_back_yard_repeat,9,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1683747552790.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F4004ccf1-a217-4199-b5f8-f5b113469e24%2F1683747552790.jpg,9,front_back_yard_repeat,10,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1683747564698.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F4004ccf1-a217-4199-b5f8-f5b113469e24%2F1683747564698.jpg,10,front_back_yard_repeat,10,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1683826961865.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fa57f0291-a799-4cb1-acf3-3fa901d8eaa3%2F1683826961865.jpg,11,front_back_yard_repeat,11,237622027,a57f0291-a799-4cb1-acf3-3fa901d8eaa3,2023-05-11 22:35:01,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684258630749.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe4dd68f3-530e-41f3-8fa0-4e9ba7eb4855%2F1684258630749.jpg,12,front_back_yard_repeat,12,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
