structure type,clinometer distance (m),top of building (degree),base of building (degree),measured height if not using clinometer (m),_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
institutional,11,46,51,12,1,ESCA_plot,1,224053948,4de9d568-8ee2-412e-bab3-4f6bab11ec41,2023-03-09 22:36:10,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
institutional,10,44,54,11,2,ESCA_plot,1,224053948,4de9d568-8ee2-412e-bab3-4f6bab11ec41,2023-03-09 22:36:10,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
residential,18.5,,,4.5,3,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,18.2,,,5,4,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,18.2,,,4.7,5,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,15.2,,,5.1,6,ESCA_plot,25,234475993,7a53543f-0620-42b6-afd6-a9db8d60d085,2023-04-27 23:50:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
no buildings,,,,,7,ESCA_plot,25,234475993,7a53543f-0620-42b6-afd6-a9db8d60d085,2023-04-27 23:50:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,18.3,,,10.2,8,ESCA_plot,27,235173841,2ec4c2e0-4907-4551-b093-fbdc6952952c,2023-05-01 19:02:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,14.4,,,4.5,9,ESCA_plot,28,235173872,33f20dc2-eff4-4854-a7b4-b46d8267f42e,2023-05-01 19:02:54,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,17.6,,,5.8,10,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
residential,17.4,,,4.1,11,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
residential,17.4,,,5.2,12,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
residential,19,,,5.8,13,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,13.4,,,4.8,14,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,12.1,,,3.1,15,ESCA_plot,39,237347904,4b8f5b2b-9d1a-479b-8d9c-e837ea68dbcd,2023-05-10 23:05:52,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,12.3,,,3.2,16,ESCA_plot,39,237347904,4b8f5b2b-9d1a-479b-8d9c-e837ea68dbcd,2023-05-10 23:05:52,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,13.4,,,4.7,17,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,16.3,,,4.9,18,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,20.6,,,6.1,19,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,11.6,,,7.6,20,ESCA_plot,42,237856802,836ae986-8e58-4712-aed4-06e00d17348a,2023-05-12 20:15:33,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,,,,3,21,ESCA_plot,42,237856802,836ae986-8e58-4712-aed4-06e00d17348a,2023-05-12 20:15:33,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,9.2,,,6.4,22,ESCA_plot,43,237856902,87ac4c60-7f42-457e-ba86-376b711cfec3,2023-05-12 20:16:20,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,11.5,,,4.7,23,ESCA_plot,44,238459317,2bf9960c-620d-4dd8-b81c-aa8f189312b6,2023-05-15 22:51:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,19.4,,,7.3,24,ESCA_plot,44,238459317,2bf9960c-620d-4dd8-b81c-aa8f189312b6,2023-05-15 22:51:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,19,,,4,25,ESCA_plot,46,238730367,ca876f17-bae0-4f29-9293-6831223a68c3,2023-05-16 22:45:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,20.3,,,5.7,26,ESCA_plot,47,238730388,a1dd9916-e624-4690-9cb5-03c34b2972db,2023-05-16 22:45:45,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
