sweepnet sample type,plant taxon from which arthropods were collected,new sweepnet vegetation taxon,notes regarding sweepnet sample,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
plant,Lantana,,Lantana sp.,1,ESCA_plot,1,224053948,4de9d568-8ee2-412e-bab3-4f6bab11ec41,2023-03-09 22:36:10,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,NULL,Yucca sp.,,2,ESCA_plot,1,224053948,4de9d568-8ee2-412e-bab3-4f6bab11ec41,2023-03-09 22:36:10,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,NULL,Yucca sp.,,3,ESCA_plot,1,224053948,4de9d568-8ee2-412e-bab3-4f6bab11ec41,2023-03-09 22:36:10,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia ambrosioides,,,4,ESCA_plot,2,224053950,4b7e856e-8631-4170-a3c2-f13979b8502e,2023-03-09 22:36:13,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,5,ESCA_plot,2,224053950,4b7e856e-8631-4170-a3c2-f13979b8502e,2023-03-09 22:36:13,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Encelia farinosa,,,6,ESCA_plot,2,224053950,4b7e856e-8631-4170-a3c2-f13979b8502e,2023-03-09 22:36:13,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia deltoidea,,,7,ESCA_plot,3,228115641,bb9318c6-fa64-4cdf-abeb-9a744619f4cd,2023-03-27 14:58:30,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia deltoidea,,,8,ESCA_plot,3,228115641,bb9318c6-fa64-4cdf-abeb-9a744619f4cd,2023-03-27 14:58:30,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,9,ESCA_plot,3,228115641,bb9318c6-fa64-4cdf-abeb-9a744619f4cd,2023-03-27 14:58:30,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia deltoidea,,,10,ESCA_plot,4,229300495,0370f735-ac03-40b6-80b4-cd4552da4510,2023-03-31 20:58:29,,,submitted_via_web,caplter_luke,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,11,ESCA_plot,4,229300495,0370f735-ac03-40b6-80b4-cd4552da4510,2023-03-31 20:58:29,,,submitted_via_web,caplter_luke,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,12,ESCA_plot,4,229300495,0370f735-ac03-40b6-80b4-cd4552da4510,2023-03-31 20:58:29,,,submitted_via_web,caplter_luke,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia,,Ambrosia salsola,13,ESCA_plot,5,229301342,11c407dc-d763-4691-8f53-4f3db70df25f,2023-03-31 21:02:44,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Parkinsonia florida,,,14,ESCA_plot,5,229301342,11c407dc-d763-4691-8f53-4f3db70df25f,2023-03-31 21:02:44,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Parkinsonia florida,,,15,ESCA_plot,5,229301342,11c407dc-d763-4691-8f53-4f3db70df25f,2023-03-31 21:02:44,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,16,ESCA_plot,6,229301501,dae2e11f-44bc-4cc5-a16b-b7723491776b,2023-03-31 21:03:53,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,17,ESCA_plot,6,229301501,dae2e11f-44bc-4cc5-a16b-b7723491776b,2023-03-31 21:03:53,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia deltoidea,,,18,ESCA_plot,6,229301501,dae2e11f-44bc-4cc5-a16b-b7723491776b,2023-03-31 21:03:53,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Encelia farinosa,,,19,ESCA_plot,7,230550241,c941f5b5-bd6e-47fa-a96d-67b31d88d0d9,2023-04-06 23:40:34,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,20,ESCA_plot,7,230550241,c941f5b5-bd6e-47fa-a96d-67b31d88d0d9,2023-04-06 23:40:34,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ephedra,,Ephedra aspera,21,ESCA_plot,7,230550241,c941f5b5-bd6e-47fa-a96d-67b31d88d0d9,2023-04-06 23:40:34,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,22,ESCA_plot,8,230550265,45cbe40c-d69b-489c-a2e5-aba09cf4d48c,2023-04-06 23:40:55,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia deltoidea,,,23,ESCA_plot,8,230550265,45cbe40c-d69b-489c-a2e5-aba09cf4d48c,2023-04-06 23:40:55,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Simmondsia chinensis,,,24,ESCA_plot,8,230550265,45cbe40c-d69b-489c-a2e5-aba09cf4d48c,2023-04-06 23:40:55,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Encelia farinosa,,,25,ESCA_plot,9,230550266,f6cbec72-0275-4d32-a096-02b871d80c65,2023-04-06 23:41:00,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Encelia farinosa,,,26,ESCA_plot,9,230550266,f6cbec72-0275-4d32-a096-02b871d80c65,2023-04-06 23:41:00,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Eriogonum fasciculatum,,,27,ESCA_plot,9,230550266,f6cbec72-0275-4d32-a096-02b871d80c65,2023-04-06 23:41:00,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,28,ESCA_plot,10,230692617,6645bfa7-67d7-4373-b068-8741a34d5167,2023-04-07 21:02:26,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Encelia farinosa,,,29,ESCA_plot,10,230692617,6645bfa7-67d7-4373-b068-8741a34d5167,2023-04-07 21:02:26,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Ambrosia deltoidea,,,30,ESCA_plot,10,230692617,6645bfa7-67d7-4373-b068-8741a34d5167,2023-04-07 21:02:26,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,31,ESCA_plot,11,231097251,d378f4f5-4512-4eaa-b1c0-643a11275c09,2023-04-10 21:16:58,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,32,ESCA_plot,11,231097251,d378f4f5-4512-4eaa-b1c0-643a11275c09,2023-04-10 21:16:58,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Encelia farinosa,,,33,ESCA_plot,11,231097251,d378f4f5-4512-4eaa-b1c0-643a11275c09,2023-04-10 21:16:58,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
plant,Larrea tridentata,,,34,ESCA_plot,12,231587213,1283c61e-04c4-4271-8a17-5562d7b2db14,2023-04-12 19:14:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,35,ESCA_plot,12,231587213,1283c61e-04c4-4271-8a17-5562d7b2db14,2023-04-12 19:14:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,NULL,Ambrosia salsola ,,36,ESCA_plot,12,231587213,1283c61e-04c4-4271-8a17-5562d7b2db14,2023-04-12 19:14:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,37,ESCA_plot,13,232043530,9f8c829b-e455-4b75-8131-e588c4713329,2023-04-14 19:36:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,38,ESCA_plot,13,232043530,9f8c829b-e455-4b75-8131-e588c4713329,2023-04-14 19:36:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,39,ESCA_plot,13,232043530,9f8c829b-e455-4b75-8131-e588c4713329,2023-04-14 19:36:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Viguiera parishii,,,40,ESCA_plot,14,232043618,80af4e6c-1982-420f-99f9-4d51988f78f3,2023-04-14 19:36:39,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,41,ESCA_plot,14,232043618,80af4e6c-1982-420f-99f9-4d51988f78f3,2023-04-14 19:36:39,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,42,ESCA_plot,14,232043618,80af4e6c-1982-420f-99f9-4d51988f78f3,2023-04-14 19:36:39,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,43,ESCA_plot,15,232533224,b45e1a21-1009-4be7-ad9a-695fa2a7f994,2023-04-17 20:31:07,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,44,ESCA_plot,15,232533224,b45e1a21-1009-4be7-ad9a-695fa2a7f994,2023-04-17 20:31:07,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,45,ESCA_plot,15,232533224,b45e1a21-1009-4be7-ad9a-695fa2a7f994,2023-04-17 20:31:07,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Sphaeralcea ambigua,,,46,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,47,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,48,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
