measurement type,taxon,new  taxon,vs_vegetation_taxon_count_calc,observation note,identified?,voucher?,hedge?,number of plants,number of plants front,number of plants back,taxon,new  taxon,vs_vegetation_taxon_group_calc,observation note,identified?,voucher?,hedge?,height of plant (m),plant width north-south (m),plant width east-west (m),clinometer distance (m),top of plant (deg),base of plant (deg),shrub shape,shrub class,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
count,Agave,,,Unable to determine species,yes,no,no,11,,,,,,,,,,,,,,,,,,1,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ruellia brittoniana,,,"No flowers, 75% other id, plant too small to voucher",yes,no,no,1,,,,,,,,,,,,,,,,,,2,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Hesperaloe parviflora,,,,yes,no,no,11,,,,,,,,,,,,,,,,,,3,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Macfadyena unguis-cati,,,,yes,no,no,1,,,,,,,,,,,,,,,,,,4,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Sarcostemma cynanchoides,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,5,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Bignoniaceae,,,Plants dormant,no,no,no,17,,,,,,,,,,,,,,,,,,6,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Agave,,,Unable to id to species,yes,no,no,,,,,,,,,7,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ruellia brittoniana,,,@14m,yes,no,no,,,,,,,,,8,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Hesperaloe parviflora,,,"@15m N, 11m E",yes,no,no,,,,,,,,,9,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Macfadyena unguis-cati,,,"@12m N, 10m E",yes,no,no,,,,,,,,,10,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Sarcostemma cynanchoides,,,"5m E, 10m N, vine",yes,no,no,,,,,,,,,11,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Bignoniaceae,,,"Dormant, very tangled amongst each other, width is estimated ",no,no,no,,,,,,,,,12,ESCA_shrub_survey,1,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Lycium exsertum,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,13,ESCA_shrub_survey,2,224011635,3d64da80-c9fc-4b40-bfb7-81512912d703,2023-03-09 17:33:29,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Lycium,,,,no,yes,no,7,,,,,,,,,,,,,,,,,,14,ESCA_shrub_survey,2,224011635,3d64da80-c9fc-4b40-bfb7-81512912d703,2023-03-09 17:33:29,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Lycium exsertum,,,,yes,no,no,,,,,,,,,15,ESCA_shrub_survey,3,224011644,f849b5cc-822b-44f6-b642-dcfedf64ad8a,2023-03-09 17:33:30,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Lycium,,,,no,yes,no,,,,,,,,,16,ESCA_shrub_survey,3,224011644,f849b5cc-822b-44f6-b642-dcfedf64ad8a,2023-03-09 17:33:30,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,NULL,,,,,,no,,,,,,,,,17,ESCA_shrub_survey,3,224011644,f849b5cc-822b-44f6-b642-dcfedf64ad8a,2023-03-09 17:33:30,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Encelia farinosa,,,,yes,no,no,101,,,,,,,,,,,,,,,,,,18,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Larrea tridentata,,,,yes,no,no,52,,,,,,,,,,,,,,,,,,19,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia deltoidea,,,,yes,no,no,54,,,,,,,,,,,,,,,,,,20,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia ambrosioides,,,,yes,no,no,7,,,,,,,,,,,,,,,,,,21,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Lycium,,,"Identified to genus, need spp",no,,no,,,,,,,,,,,,,,,,,,,22,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia ambrosioides,,,,yes,no,no,,,,,,,,,23,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Ferocactus cylindraceus,,,,yes,no,no,1,,,,,,,,,,,,,,,,,,24,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Krameria,,,Quincy identified as K. gregoryi,yes,no,no,4,,,,,,,,,,,,,,,,,,25,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Encelia farinosa,,,,yes,no,no,,,,,,,,,26,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ferocactus cylindraceus,,,,yes,no,no,,,,,,,,,27,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia deltoidea,,,,yes,no,no,,,,,,,,,28,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Larrea tridentata,,,,yes,no,no,,,,,,,,,29,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Krameria,,,K. gregoryi,yes,no,no,,,,,,,,,30,ESCA_shrub_survey,4,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Larrea tridentata,,,,yes,no,no,9,,,,,,,,,,,,,,,,,,31,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Encelia farinosa,,,,yes,no,no,4,,,,,,,,,,,,,,,,,,32,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ferocactus cylindraceus,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,33,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Cylindropuntia bigelovii,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,34,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Cylindropuntia acanthocarpa,,,,yes,no,no,6,,,,,,,,,,,,,,,,,,35,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia deltoidea,,,,yes,no,no,153,,,,,,,,,,,,,,,,,,36,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Cylindropuntia acanthocarpa,,,,yes,no,no,,,,,,,,,37,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Larrea tridentata,,,,yes,no,no,,,,,,,,,38,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ferocactus cylindraceus,,,,yes,no,no,,,,,,,,,39,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ferocactus wislizeni,,,,yes,no,no,1,,,,,,,,,,,,,,,,,,40,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ferocactus wislizeni,,,,yes,no,no,,,,,,,,,41,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Cylindropuntia bigelovii,,,,yes,no,no,,,,,,,,,42,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Encelia farinosa,,,,yes,no,no,,,,,,,,,43,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia deltoidea,,,,yes,no,no,,,,,,,,,44,ESCA_shrub_survey,5,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia deltoidea,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,45,ESCA_shrub_survey,6,229300469,0f32d684-231e-46b3-a69e-9c549686c655,2023-03-31 20:58:17,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Larrea tridentata,,,,yes,no,no,17,,,,,,,,,,,,,,,,,,46,ESCA_shrub_survey,6,229300469,0f32d684-231e-46b3-a69e-9c549686c655,2023-03-31 20:58:17,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia deltoidea,,,,yes,no,no,,,,,,,,,47,ESCA_shrub_survey,6,229300469,0f32d684-231e-46b3-a69e-9c549686c655,2023-03-31 20:58:17,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Larrea tridentata,,,,yes,no,no,,,,,,,,,48,ESCA_shrub_survey,6,229300469,0f32d684-231e-46b3-a69e-9c549686c655,2023-03-31 20:58:17,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia,,,A. salsola,yes,no,no,38,,,,,,,,,,,,,,,,,,49,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia deltoidea,,,,yes,no,no,2,,,,,,,,,,,,,,,,,,50,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Larrea tridentata,,,,yes,no,no,9,,,,,,,,,,,,,,,,,,51,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia deltoidea,,,,yes,no,no,,,,,,,,,52,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Larrea tridentata,,,,yes,no,no,,,,,,,,,53,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia,,,A. salsola,yes,no,no,,,,,,,,,54,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Lycium andersonii,,,,yes,no,no,2,,,,,,,,,,,,,,,,,,55,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Acacia greggii,,,,yes,no,no,2,,,,,,,,,,,,,,,,,,56,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Acacia greggii,,,,yes,no,no,,,,,,,,,57,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Lycium andersonii,,,,yes,no,no,,,,,,,,,58,ESCA_shrub_survey,7,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Larrea tridentata,,,88 shrubs counted,yes,no,no,88,,,,,,,,,,,,,,,,,,59,ESCA_shrub_survey,8,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Ambrosia deltoidea,,,,yes,no,no,39,,,,,,,,,,,,,,,,,,60,ESCA_shrub_survey,8,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Ferocactus cylindraceus,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,61,ESCA_shrub_survey,8,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
count,Mammillaria,,,,no,no,no,1,,,,,,,,,,,,,,,,,,62,ESCA_shrub_survey,8,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Larrea tridentata,,,,yes,no,no,,,,,,,,,63,ESCA_shrub_survey,9,229302226,8cdb9142-da59-43ce-a0cb-6a3adf272cdd,2023-03-31 21:11:45,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia deltoidea,,,,yes,no,no,,,,,,,,,64,ESCA_shrub_survey,9,229302226,8cdb9142-da59-43ce-a0cb-6a3adf272cdd,2023-03-31 21:11:45,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Mammillaria,,,,no,no,no,,,,,,,,,65,ESCA_shrub_survey,9,229302226,8cdb9142-da59-43ce-a0cb-6a3adf272cdd,2023-03-31 21:11:45,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ferocactus cylindraceus,,,,yes,no,no,,,,,,,,,66,ESCA_shrub_survey,9,229302226,8cdb9142-da59-43ce-a0cb-6a3adf272cdd,2023-03-31 21:11:45,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Encelia farinosa,,,,yes,no,no,,,,,,,,,67,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Cylindropuntia bigelovii,,,,yes,no,no,,,,,,,,,68,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Echinocereus engelmannii,,,,yes,no,no,,,,,,,,,69,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ambrosia deltoidea,,,,yes,yes,no,,,,,,,,,70,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Cylindropuntia acanthocarpa,,,,yes,no,no,,,,,,,,,71,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Ephedra aspera,,,,yes,no,no,,,,,,,,,72,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Viguiera parishii,,,,yes,no,no,,,,,,,,,73,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Adenophyllum porophylloides,,,,yes,no,no,,,,,,,,,74,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Porophyllum gracile,,,,yes,no,no,,,,,,,,,75,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Janusia gracilis,,,,yes,no,no,,,,,,,,,76,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Menodora scabra,,,,yes,no,no,,,,,,,,,77,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
