shrub image,shrub image_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1678231528869.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678231528869.jpg,1,shrub_measurement_repeat,7,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678232315748.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678232315748.jpg,2,shrub_measurement_repeat,8,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678233437594.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678233437594.jpg,3,shrub_measurement_repeat,10,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678233726318.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678233726318.jpg,4,shrub_measurement_repeat,11,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678233952479.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6%2F1678233952479.jpg,5,shrub_measurement_repeat,12,224011479,65ed6fcd-1945-4d6a-b715-5cf38fa5bfb6,2023-03-09 17:32:44,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678319543347.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Ff849b5cc-822b-44f6-b642-dcfedf64ad8a%2F1678319543347.jpg,6,shrub_measurement_repeat,15,224011644,f849b5cc-822b-44f6-b642-dcfedf64ad8a,2023-03-09 17:33:30,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678320787721.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Ff849b5cc-822b-44f6-b642-dcfedf64ad8a%2F1678320787721.jpg,7,shrub_measurement_repeat,16,224011644,f849b5cc-822b-44f6-b642-dcfedf64ad8a,2023-03-09 17:33:30,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1678318753871.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678318753871.jpg,8,shrub_measurement_repeat,23,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678319275654.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678319275654.jpg,9,shrub_measurement_repeat,26,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678319488346.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678319488346.jpg,10,shrub_measurement_repeat,27,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678319542242.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678319542242.jpg,11,shrub_measurement_repeat,28,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678319719246.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678319719246.jpg,12,shrub_measurement_repeat,29,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1678320332865.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F09714674-ee1c-45bf-b6cd-e4035dbc342d%2F1678320332865.jpg,13,shrub_measurement_repeat,30,224053957,09714674-ee1c-45bf-b6cd-e4035dbc342d,2023-03-09 22:36:18,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1679682977638.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679682977638.jpg,14,shrub_measurement_repeat,37,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1679683523739.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679683523739.jpg,15,shrub_measurement_repeat,38,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1679683949331.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679683949331.jpg,16,shrub_measurement_repeat,39,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1679684459210.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679684459210.jpg,17,shrub_measurement_repeat,41,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1679684570160.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679684570160.jpg,18,shrub_measurement_repeat,42,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1679684833224.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679684833224.jpg,19,shrub_measurement_repeat,43,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1679685118643.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F38041b25-b263-496d-a269-0fbff265dfa1%2F1679685118643.jpg,20,shrub_measurement_repeat,44,228115806,38041b25-b263-496d-a269-0fbff265dfa1,2023-03-27 14:58:58,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
