taxon_edit,taxa_db_id,authority
Aristolochia watsonii,2873999,GBIF
Matelea producta,3170504,GBIF
Kroenleinia grusonii,7280494,GBIF
Gossypium harknessii,7278740,GBIF
Matelea,3170475,GBIF
Mandevilla sanderi,3616287,GBIF
Podranea ricasoliana,3172592,GBIF
Saccharum officinarum,2703912,GBIF
Kalanchoe orgyalis,4199216,GBIF
Gasteria,2778529,GBIF
Tecoma,3172488,GBIF
Tetraneuris scaposa,3112398,GBIF
Grewia occidentalis,4261391,GBIF
Podocarpus macrophyllus,5285930,GBIF
Lophocereus marginatus,7282321,GBIF
