site_code,samp_date,vegetation_scientific_name,vegetation_sample_id,count,count_survey_value_sum
AB10,2015-04-09,Acacia constricta,28952,4,2
AB10,2015-04-09,Acacia greggii,28951,4,6
AB10,2015-04-09,Calliandra eriophylla,28949,4,8
AB10,2015-04-09,Celtis pallida,28950,4,4
AB10,2015-04-09,Cylindropuntia acanthocarpa,28944,4,3
AB10,2015-04-09,Krameria grayi,28946,4,5
AB10,2015-04-09,Leucophyllum laevigatum,28943,4,26
AB10,2015-04-09,Phoradendron californicum,28953,4,10
AB10,2015-04-09,Senna covesii,28947,4,190
AB10,2015-04-09,Sphaeralcea ambigua,28948,4,12
AB10,2015-04-09,Viguiera deltoidea var. parishii (Greene) Vasey & Rose,28945,4,6
F8,2015-04-06,Ambrosia deltoidea,28587,4,1
F8,2015-04-06,Larrea tridentata,28586,4,82
V7,2015-04-08,Acacia greggii,28028,4,6
V7,2015-04-08,Ambrosia deltoidea,28025,4,86
V7,2015-04-08,Baccharis,28031,4,1
V7,2015-04-08,Cylindropuntia acanthocarpa,28027,4,2
V7,2015-04-08,Ferocactus cylindraceus,28023,4,1
V7,2015-04-08,Larrea tridentata,28026,4,64
V7,2015-04-08,Lycium,28024,4,1
V7,2015-04-08,Lycium,29344,4,1
V7,2015-04-08,Lycium andersonii,28032,4,1
V7,2015-04-08,Ziziphus obtusifolia,28029,4,2
