taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Monoptilon bellioides,ITIS:38124,species,ITIS:38124,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Monoptilon,bellioides,,Mojave desertstar
Poa annua,ITIS:41107,species,ITIS:41107,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Poa,annua,,walkgrass
Linanthus bigelovii,ITIS:31292,species,ITIS:31292,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Ericales,Polemoniaceae,Linanthus,bigelovii,,Bigelows linanthus
Salsola tragus,ITIS:520950,species,ITIS:520950,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,tragus,,tumbleweed
Pectocarya,ITIS:31970,genus,ITIS:31970,accepted,2011-12-08,NA,NA,NA,NA,NA,NA,,,combseed
Plagiobothrys arizonicus,ITIS:31980,species,ITIS:31980,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Plagiobothrys,arizonicus,,lipstick plant
Conyza bonariensis,ITIS:37112,species,ITIS:37112,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Conyza,bonariensis,,wavy leaf fleabane
Parietaria hespera,ITIS:19166,species,ITIS:19166,accepted,2011-07-25,Plantae,NA,Magnoliopsida,Rosales,Urticaceae,Parietaria,hespera,,rillita pellitory
Perityle emoryi,ITIS:38211,species,ITIS:38211,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Perityle,emoryi,,Emorys rocklily
Pectocarya recurvata,ITIS:31975,species,ITIS:31975,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Pectocarya,recurvata,,curvenut combseed
Veronica peregrina,ITIS:33421,species,ITIS:33421,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,peregrina,,neckweed
Medicago,ITIS:183622,genus,ITIS:183622,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,alfalfa
Phacelia cryptantha,ITIS:31479,species,ITIS:31479,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,cryptantha,,hiddenflower phacelia
Plantago patagonica,ITIS:32907,species,ITIS:32907,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,patagonica,,woolly plantain
Phacelia crenulata,ITIS:31478,species,ITIS:31478,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,crenulata,,cleftleaf wildheliotrope
Sonchus asper,ITIS:38424,species,ITIS:38424,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Sonchus,asper,,spiny sowthistle
Spergularia salina,ITIS:507251,species,ITIS:507251,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Caryophyllaceae,Spergularia,salina,,salt sandspurry
Leucophyllum candidum,ITIS:33628,species,ITIS:33628,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Scrophulariaceae,Leucophyllum,candidum,,Brewster County barometerbush
Capsella bursa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aster,ITIS:35510,genus,ITIS:35510,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,aster
Verbesina encelioides,ITIS:38601,species,ITIS:38601,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Verbesina,encelioides,,golden crownbeard
